44,S01,Tidak disunting,Dokumen tidak disunting,2021-08-06 01:54:00,2021-08-06 01:54:00
45,S02,Sunting,Dokumen telah disunting,2021-08-06 01:54:00,2021-08-06 01:54:00
46,A01,Menunggu Konfrimasi Admin,Menunggu pembayaran dikonfirmasi oleh admin,2021-08-06 01:54:00,2021-08-06 01:54:00
47,A02,Pembayaran ditolak Admin,Transaksi Pembayaran di tolak oleh admin,2021-08-06 01:54:00,2021-08-06 01:54:00
48,A03,Pembayaran dikonfirmasi oleh Admin,Transaksi Pembayaran telah dikonfirmasi oleh admin,2021-08-06 01:54:00,2021-08-06 01:54:00
49,ON01,Dalam proses pengerjaan,Projek masih dalam proses pengerjaan,2021-08-06 01:54:00,2021-08-06 01:54:00
50,ON02,Projek selesai Klien,Projek telah diverikiasi selesai oleh Klien,2021-08-06 01:54:00,2021-08-06 01:54:00
51,ON03,Projek dibatalkan,Projek dibatalkan karena alasan tertentu,2021-08-06 01:54:00,2021-08-06 01:54:00
52,ON04,Projek selesai Tukang,Projek telah diverikiasi selesai oleh Tukang,2021-08-06 01:54:00,2021-08-06 01:54:00
53,ON05,Projek selesai,Projek telah selesai,2021-08-06 01:54:00,2021-08-06 01:54:00
